"symbol","company_name","tipo_mercado","cod_bdi","specification","first_date","last_date","n_days","avg_financial_volume"
"PETR4","PETROBRAS","010","02","PN","1998-03-16","2025-12-30",6838,748331124.81
"ITUB4","ITAUUNIBANCO","010","02","PN  EJ  N1","2009-05-20","2025-12-30",4120,589733553.43
"VALE3","VALE R DOCE","010","02","ON      N1","1998-03-16","2025-12-30",6858,556465884.36
"B3SA3","B3","010","02","ON      NM","2018-03-26","2025-12-30",1932,522335614.56
"ABEV3","AMBEV S/A","010","02","ON","2013-11-11","2025-12-30",3009,328985034.31
"SUZB3","SUZANO S.A.","010","02","ON      NM","2017-11-10","2025-12-30",2020,318025781.39
"BBDC4","BRADESCO","010","02","PN  EJ  N1","1998-03-16","2025-12-30",6887,298053005.44
"MGLU3","MAGAZ LUIZA","010","02","ON      NM","2011-05-02","2025-12-30",3640,256930679.01
"NTCO3","GRUPO NATURA","010","02","ON  ATZ NM","2019-12-18","2025-07-01",1375,242704124.63
"BPAC11","BTGP BANCO","010","02","UNT     N2","2017-02-16","2025-12-30",2180,230101396.28
"PRIO3","PETRORIO","010","02","ON      NM","2015-06-26","2025-12-30",2609,221183077.36
"BBAS3","BRASIL","010","02","ON","1998-03-16","2025-12-30",6868,219435495.03
"HAPV3","HAPVIDA","010","02","ON      NM","2018-04-25","2025-12-30",1911,213609220.65
"PETR3","PETROBRAS","010","02","ON","1998-03-16","2025-12-30",6834,197975329.93
"VBBR3","VIBRA","010","02","ON      NM","2021-10-22","2025-12-30",1046,197562572.07
"RAIL3","RUMO S.A.","010","02","ON      NM","2017-03-13","2025-12-30",2187,197460840.39
"RDOR3","REDE D OR","010","02","ON      NM","2020-12-10","2025-12-30",1259,177670139.98
"ASAI3","ASSAI","010","02","ON      NM","2021-03-01","2025-12-30",1209,177084415.02
"AZUL4","AZUL","010","02","PN      N2","2017-04-11","2025-05-28",2016,164575751.74
"BRFS3","BRF SA","010","02","ON      NM","2009-12-10","2025-09-22",3912,146210338.91
"JBSS3","JBS","010","02","ON      NM","2007-03-29","2025-06-06",4474,143765861.08
"RENT3","LOCALIZA","010","02","ON      NM","2005-05-23","2025-12-30",5107,142922352.82
"BBSE3","BBSEGURIDADE","010","02","ON      NM","2013-04-29","2025-12-30",3018,140632786.82
"COGN3","COGNA ON","010","02","ON      NM","2019-10-11","2025-12-30",1548,139998915.07
"LREN3","LOJAS RENNER","010","02","ON *","1998-06-09","2025-12-30",5093,139808769.13
"GGBR4","GERDAU","010","02","PN  EDJ N1","2001-02-01","2025-12-30",6175,136469956.55
"CIEL3","CIELO","010","02","ON      NM","2009-12-18","2024-08-26",3638,128469955.79
"IRBR3","IRBBRASIL RE","010","02","ON      NM","2017-07-31","2025-12-30",2091,127940364.63
"ITSA4","ITAUSA","010","02","PN  EJ  N1","1998-03-16","2025-12-30",6886,124357041.51
"WEGE3","WEG","010","02","ON      N1","2004-09-08","2025-12-30",4665,116576208.01
"TIMS3","TIM","010","02","ON      NM","2020-10-13","2025-12-30",1300,106245520.02
"RADL3","RAIADROGASIL","010","02","ON      NM","2011-12-19","2025-12-30",3480,105904376.38
"EQTL3","EQUATORIAL","010","02","ON      NM","2008-04-07","2025-12-30",4398,98935762.25
"UGPA3","ULTRAPAR","010","02","ON *","2002-12-17","2025-12-30",3616,96766205.13
"USIM5","USIMINAS","010","02","PNA","1999-02-02","2025-12-30",6670,95268904.34
"KLBN11","KLABIN S/A","010","02","UNT     N2","2014-01-23","2025-12-30",2962,91466516.07
"CSNA3","SID NACIONAL","010","02","ON","1998-03-16","2025-12-30",6883,90736900.94
"ELET3","ELETROBRAS","010","02","ON *","1998-03-16","2025-11-07",6821,88426517.23
